21; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
22; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
23; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
24; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
25; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
26; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
27; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
28; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
29; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
30; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50

1; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 50
