12; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
13; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
14; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
15; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
16; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
17; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
18; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
19; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
20; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
21; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
22; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
23; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
24; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
25; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
26; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
27; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
28; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
29; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
30; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330

1; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 330
