13; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
14; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
15; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 100
16; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
17; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 200
18; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
19; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
20; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 200
21; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 250
22; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
23; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
24; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 250
25; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
26; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
27; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
28; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 200
29; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 200
30; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150

1; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; [inimigo2, (-100, 100)]; 150
