8; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (-100, 300)]; [inimigos, (100, 800)]; [inimigos, (1350, 100)]; 105
9; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo5, (90, -50)]; [inimigo1, (200, -50)]; 55
10; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; 135
11; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo1, (1350, 300)]; [inimigos, (200, -50)]; 115
12; [inimigo1, (1350, 300)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (200, -50)]; [inimigo1, (800, -50)]; [inimigo1, (1350, -50)]; 175
13; [inimigo1, (1350, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo1, (90, -50)]; [inimigos, (-100, 300)]; 130
14; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 300)]; [inimigos, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (1350, 300)]; 155
15; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 300)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 225
16; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 300)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 225
17; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (1200, -50)]; 135
18; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 225
19; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 135
20; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 180
21; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; 90
22; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; 225
23; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; [inimigo1, (-100, 300)]; 225
