16; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
17; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
18; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
19; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
20; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 145
21; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
22; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
23; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
24; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
25; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
26; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
27; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
28; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
29; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
30; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 205
