13; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
14; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (1350, -50)]; 210
15; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
16; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
17; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
18; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
19; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
20; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
21; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
22; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
23; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
24; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
25; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 100)]; [inimigos, (90, -50)]; 210
26; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
27; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
28; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
29; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
30; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigo2, (-50, 800)]; [inimigos, (90, -50)]; 210

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
2; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (90, -50)]; [inimigos, (-100, 300)]; 150
3; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo3, (-100, 100)]; [inimigo2, (1350, 100)]; [inimigo2, (-100, 300)]; 250
4; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
5; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 160
6; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
7; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
8; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
9; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
10; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (1350, 100)]; 180
11; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (1350, 300)]; [inimigos, (-100, 300)]; 150
12; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 150
13; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
14; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
15; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
16; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo4, (-100, 300)]; 120
17; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
18; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (1350, -50)]; 120
19; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
20; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
21; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
22; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
23; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
24; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
25; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
26; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
27; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
28; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
29; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (1350, 100)]; [inimigos, (100, 800)]; 120
30; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (1350, 100)]; [inimigos, (620, 800)]; [inimigos, (-100, 300)]; 120

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
2; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (90, -50)]; [inimigos, (-100, 300)]; 150
3; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo3, (-100, 100)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 300)]; 220
4; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
5; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 160
6; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
7; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 130
8; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo5, (1350, 100)]; [inimigo2, (-100, 300)]; 170
9; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (500, -50)]; [inimigo2, (-100, 300)]; 180
10; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (1350, 100)]; 150
11; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; 150
12; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
13; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (1200, 800)]; 120
14; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; 120
15; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
16; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
17; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
18; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
19; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
20; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
21; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
22; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
23; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
24; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (1350, 500)]; [inimigos, (500, -50)]; 120
25; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
26; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; 120
