23; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 80
24; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 80
25; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
26; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
27; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo2, (-100, 300)]; 130
28; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 80
29; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
30; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
2; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo4, (90, -50)]; [inimigos, (-100, 300)]; 135
3; [inimigo1, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (200, -50)]; 60
4; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo4, (-100, 300)]; [inimigo1, (-100, 300)]; 105
5; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (200, -50)]; [inimigo4, (-100, 300)]; 60
